2026-03-02 18:36:02,263 [   INFO] [DATA]: loading data from boba_assets/different_types/single_lift_cloth_1/final_data.pkl
2026-03-02 18:36:02,376 [   INFO] [SIMULATION]: Initialize the Spring-Mass System
2026-03-02 18:36:05,913 [   INFO] Load model from boba_assets/experiments/single_lift_cloth_1/train/best_99.pth
2026-03-02 18:36:05,944 [   INFO] Applying Morton ordering + spring coloring for batched rollout...
2026-03-02 18:36:06,148 [   INFO] Edge coloring: 38 colors assigned
2026-03-02 18:36:06,377 [   INFO] [SIMULATION]: Initialize Batched Spring-Mass System (instances=100, obj_nodes=1196, ctrl_nodes=8)
2026-03-02 18:38:31,673 [   INFO] [SIMULATION]: Initialize Batched Spring-Mass System (instances=1, obj_nodes=1196, ctrl_nodes=8)
2026-03-02 18:39:15,406 [   INFO] [DATA]: loading data from boba_assets/different_types/single_lift_cloth_1/final_data.pkl
2026-03-02 18:39:15,521 [   INFO] [SIMULATION]: Initialize the Spring-Mass System
2026-03-02 18:39:17,652 [   INFO] Load model from boba_assets/experiments/single_lift_cloth_1/train/best_99.pth
2026-03-02 18:39:17,683 [   INFO] Applying Morton ordering + spring coloring for batched rollout...
2026-03-02 18:39:17,889 [   INFO] Edge coloring: 38 colors assigned
2026-03-02 18:39:18,118 [   INFO] [SIMULATION]: Initialize Batched Spring-Mass System (instances=100, obj_nodes=1196, ctrl_nodes=8)
2026-03-02 18:41:45,472 [   INFO] [SIMULATION]: Initialize Batched Spring-Mass System (instances=1, obj_nodes=1196, ctrl_nodes=8)
2026-03-02 18:43:20,001 [   INFO] [DATA]: loading data from boba_assets/different_types/single_lift_cloth_1/final_data.pkl
2026-03-02 18:43:20,117 [   INFO] [SIMULATION]: Initialize the Spring-Mass System
2026-03-02 18:43:21,604 [   INFO] Load model from boba_assets/experiments/single_lift_cloth_1/train/best_99.pth
2026-03-02 18:43:21,636 [   INFO] Applying Morton ordering + spring coloring for batched rollout...
2026-03-02 18:43:21,842 [   INFO] Edge coloring: 38 colors assigned
2026-03-02 18:43:22,110 [   INFO] [SIMULATION]: Initialize Batched Spring-Mass System (instances=100, obj_nodes=1196, ctrl_nodes=8)
2026-03-02 18:45:53,380 [   INFO] [SIMULATION]: Initialize Batched Spring-Mass System (instances=1, obj_nodes=1196, ctrl_nodes=8)
2026-03-02 18:49:04,766 [   INFO] [DATA]: loading data from boba_assets/different_types/single_lift_cloth_1/final_data.pkl
2026-03-02 18:49:04,882 [   INFO] [SIMULATION]: Initialize the Spring-Mass System
2026-03-02 18:49:07,043 [   INFO] Load model from boba_assets/experiments/single_lift_cloth_1/train/best_99.pth
2026-03-02 18:49:07,074 [   INFO] Applying Morton ordering + spring coloring for batched rollout...
2026-03-02 18:49:07,281 [   INFO] Edge coloring: 38 colors assigned
2026-03-02 18:49:07,517 [   INFO] [SIMULATION]: Initialize Batched Spring-Mass System (instances=100, obj_nodes=1196, ctrl_nodes=8)
2026-03-02 18:50:20,335 [   INFO] [SIMULATION]: Initialize Batched Spring-Mass System (instances=1, obj_nodes=1196, ctrl_nodes=8)
2026-03-02 18:50:57,146 [   INFO] [DATA]: loading data from boba_assets/different_types/single_lift_cloth_1/final_data.pkl
2026-03-02 18:50:57,263 [   INFO] [SIMULATION]: Initialize the Spring-Mass System
2026-03-02 18:51:05,351 [   INFO] Load model from boba_assets/experiments/single_lift_cloth_1/train/best_99.pth
2026-03-02 18:51:05,383 [   INFO] Applying Morton ordering + spring coloring for batched rollout...
2026-03-02 18:51:05,590 [   INFO] Edge coloring: 38 colors assigned
2026-03-02 18:51:05,826 [   INFO] [SIMULATION]: Initialize Batched Spring-Mass System (instances=100, obj_nodes=1196, ctrl_nodes=8)
2026-03-02 18:53:33,238 [   INFO] [SIMULATION]: Initialize Batched Spring-Mass System (instances=1, obj_nodes=1196, ctrl_nodes=8)
